subject,model,mse,mae,r2,eval_mask_ratio,mamba_mse,mamba_mae,mamba_r2
s01,ridge,0.8400654792785645,0.6508545875549316,0.07344311475753784,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,ridge,0.7127978801727295,0.53452068567276,0.1746484637260437,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,ridge,0.9848358631134033,0.6322085857391357,0.2481369972229004,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,ridge,1.2296111583709717,0.6695070862770081,0.09159576892852783,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,ridge,0.9183933138847351,0.6489979028701782,0.08968693017959595,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,ridge,1.3162792921066284,0.8558847308158875,0.16251909732818604,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,ridge,1.1073713302612305,0.7616283297538757,0.31271594762802124,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,ridge,0.8581259846687317,0.592273473739624,0.11900186538696289,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,ridge,0.9030580520629883,0.6512603759765625,0.16018223762512207,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,ridge,1.093699336051941,0.6694145202636719,0.1466890573501587,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,ridge,0.8613491654396057,0.6147370934486389,0.10463541746139526,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,ridge,0.9437134265899658,0.715923547744751,0.14200478792190552,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,ridge,0.8618291020393372,0.661159098148346,0.17393279075622559,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,ridge,1.0656614303588867,0.6585204005241394,0.08974343538284302,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,ridge,1075776.0,21.66253089904785,0.000152587890625,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,ridge,0.8422211408615112,0.5959285497665405,0.09516602754592896,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,ridge,3478.98681640625,1.6097172498703003,0.00012761354446411133,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,ridge,0.9392564296722412,0.6702731847763062,0.15981662273406982,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,ridge,3285655.25,42.94654846191406,0.00012117624282836914,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,ridge,0.9389825463294983,0.6540913581848145,0.15554940700531006,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,ridge,0.987919270992279,0.6501961946487427,0.1745486855506897,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,ridge,1.1722991466522217,0.7767213582992554,0.21258091926574707,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,ridge,0.9547604322433472,0.58771812915802,0.0454748272895813,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,ridge,0.8928414583206177,0.6063230037689209,0.16163617372512817,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,ridge,0.646819531917572,0.4928901195526123,0.12513631582260132,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,ridge,955283.5625,16.85540771484375,0.00010579824447631836,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,ridge,0.8823549747467041,0.6554415225982666,0.1820235252380371,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,ridge,53492.6328125,6.436518669128418,1.3113021850585938e-06,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
s01,pls,0.8971224040906742,0.6738466676261475,0.01051213691060593,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,pls,0.7693304691028993,0.5623840139740052,0.10918922827601985,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,pls,1.1193122614021185,0.6709892743808721,0.14547244561274852,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,pls,1.307105724047979,0.6953954361449677,0.03434510944692992,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,pls,0.9614216844214936,0.6620528060940213,0.04703750474114443,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,pls,1.4071097595904254,0.88522837427067,0.10472848787423628,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,pls,1.3577085048097395,0.8167560677971663,0.15734546544529182,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,pls,0.9070845286473759,0.6135040023474392,0.06873811376345007,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,pls,0.9859016406680614,0.6915947978442649,0.0831401288820055,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,pls,1.190003402922165,0.7005284381095649,0.07155186826321747,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,pls,0.9210761483572871,0.6356701664221693,0.042549700159101755,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,pls,1.021447077810701,0.7394990866824167,0.07133186956282322,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,pls,0.9335847888188669,0.6947785288335618,0.10515453838942246,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,pls,1.1303702607176396,0.6857661587340573,0.03447118435276142,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,pls,1075876.650185006,20.357829864858097,5.963736283665089e-05,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,pls,0.9036667494095062,0.6248549936037763,0.02915266554903917,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,pls,3479.1883978114215,1.6542972388647033,6.98235778456846e-05,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,pls,1.0556283465629193,0.709658541549522,0.05571949203296467,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,pls,3286009.965129456,38.80717575022782,1.4247798951205759e-05,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,pls,1.0378353060910752,0.690637128322543,0.06664871557549457,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,pls,1.082564983086804,0.6808364877833353,0.09546769356199258,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,pls,1.3522761043448581,0.8162460013206874,0.0916924378370062,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,pls,0.9954164517442375,0.6141031265960127,0.004828854302724173,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,pls,0.9456153226478249,0.630170053043751,0.11208238025292216,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,pls,0.6858995993561943,0.5160870146362412,0.072277699121442,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,pls,955375.4205554199,15.163353679958423,1.06114720186401e-05,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,pls,0.9547851987377877,0.6879173668163436,0.11487799469201665,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,pls,53491.853244356025,6.316526336500151,1.5861365673885963e-05,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
s01,random_forest,0.9119766818588114,0.677863721213122,-0.00587149981445001,0.15,0.2229876071214676,0.1375609189271927,0.754054069519043
s02,random_forest,0.7960496674816054,0.5711035883494434,0.07825096353351446,0.15,0.4305506646633148,0.19317103922367096,0.5014636516571045
s03,random_forest,1.2246153834161506,0.6760917950767419,0.0650798488129305,0.15,0.46818608045578003,0.19140994548797607,0.642568051815033
s04,random_forest,1.3205578224448191,0.6950412139901719,0.024407057485164585,0.15,0.3336402475833893,0.148390993475914,0.7535154223442078
s05,random_forest,0.9836611661838991,0.6744864346932473,0.024993699845774042,0.15,0.26177483797073364,0.15480858087539673,0.7405283451080322
s06,random_forest,1.4725696328719229,0.8994083475680577,0.06307973990922655,0.15,0.38982510566711426,0.18891528248786926,0.7519742846488953
s07,random_forest,1.4206979247764606,0.8280046750269812,0.11825141825040708,0.15,0.28479695320129395,0.15083728730678558,0.8232423067092896
s08,random_forest,0.9440449867004989,0.6323350831285618,0.030792514653690928,0.15,0.2837759256362915,0.16096580028533936,0.7086604237556458
s09,random_forest,1.0211270307285505,0.7012973884854637,0.05038153993285199,0.15,0.272389680147171,0.15419723093509674,0.7466855049133301
s10,random_forest,1.2098352611615613,0.6958373876677809,0.05607892786151647,0.15,0.43301424384117126,0.19852255284786224,0.6621596217155457
s11,random_forest,0.9412018196102296,0.6457969434228424,0.021629247479922675,0.15,0.39814087748527527,0.18261884152889252,0.5861362218856812
s12,random_forest,1.0568922984166065,0.7572818258436824,0.03910616989801907,0.15,0.3106582760810852,0.161121666431427,0.7175590991973877
s13,random_forest,0.9629718759985602,0.7023500084118183,0.07698687551868011,0.15,0.4781239628791809,0.20641951262950897,0.5417159795761108
s14,random_forest,1.1550138246389154,0.6925454302991761,0.013421381546440014,0.15,0.33952757716178894,0.14312459528446198,0.7099855542182922
s15,random_forest,1075940.3874836867,18.494177689587456,3.9869681922599653e-07,0.15,263709.90625,4.508518695831299,0.7549028396606445
s17,random_forest,0.9013208226534831,0.6246811883184271,0.03167299368924181,0.15,0.2715635597705841,0.150855153799057,0.708247721195221
s18,random_forest,3479.3101552889198,1.625335577834908,3.483007877780331e-05,0.15,1200.095703125,0.4338201582431793,0.655088484287262
s19,random_forest,1.0725914597029458,0.7151508146996995,0.04054565064767013,0.15,0.4684049189090729,0.2055371105670929,0.5810025930404663
s20,random_forest,3286060.794074996,37.50057751445333,-1.220267755286386e-06,0.15,0.46445125341415405,0.2103908210992813,0.9999998807907104
s21,random_forest,1.0469439344380758,0.6929803321752797,0.05845709796803544,0.15,0.18129993975162506,0.11197930574417114,0.8369523882865906
s22,random_forest,1.1078306141738294,0.6828562345549366,0.07435710905408188,0.15,0.2391660362482071,0.12808538973331451,0.8001659512519836
s23,random_forest,1.3912985238303954,0.822658587065192,0.06548154895216418,0.15,0.3276912569999695,0.1723528653383255,0.7798937559127808
s25,random_forest,0.9979559097141244,0.610123024454616,0.00229002214567664,0.15,0.22879178822040558,0.11694131046533585,0.7712645530700684
s26,random_forest,0.9863750446004376,0.6428001418003282,0.07380965514904259,0.15,0.39135631918907166,0.17626908421516418,0.632522702217102
s29,random_forest,0.7162185958804591,0.5232642531207581,0.03126935148248522,0.15,0.18820960819721222,0.12161824107170105,0.7454348206520081
s30,random_forest,955385.6940347711,13.932396592790518,-1.41756621552247e-07,0.15,525371.6875,7.45220947265625,0.4500941038131714
s31,random_forest,1.0016809715115778,0.7014895580508085,0.07140383894171975,0.15,0.2562602162361145,0.1538209766149521,0.762437105178833
s32,random_forest,53492.51540037249,6.0420223202494086,3.4829290783688904e-06,0.15,2915.499755859375,0.4933232069015503,0.9454972743988037
